subject,SO_Source_Distance,Source,SO,pre_post,Outflow_peak
1,0,1,1,2,0.854512241781644
1,1,2,1,2,0.855328521914371
1,2,3,1,1,0.854425374376757
1,2,3,1,2,0.851108358858742
1,3,4,1,1,0.836219725701957
1,3,4,1,2,0.825519963991095
1,1,1,2,2,0.854949228754162
1,1,3,2,1,0.854298996710356
1,1,3,2,2,0.854190342006935
1,2,4,2,1,0.843616624951148
1,2,4,2,2,0.831150110899517
1,2,1,3,1,0.851101709744611
1,2,1,3,2,0.848997119135795
1,1,2,3,1,0.854552176306992
1,1,2,3,2,0.853475086869866
1,1,4,3,1,0.852363065488925
1,1,4,3,2,0.850549016548921
1,3,1,4,1,0.847304758793552
1,3,1,4,2,0.848943300816611
1,2,2,4,1,0.851205176778571
1,2,2,4,2,0.850827688812677
1,0,4,4,1,0.855584089626023
1,0,4,4,2,0.850370238884976
2,0,1,1,1,0.849326335085563
2,0,1,1,2,0.851836392814532
2,1,2,1,1,0.845651193818155
2,1,2,1,2,0.841802652129239
2,2,3,1,1,0.841528828943197
2,2,3,1,2,0.833661460324374
2,1,1,2,1,0.848563925639812
2,1,1,2,2,0.845154385923602
2,0,2,2,1,0.854883026496426
2,0,2,2,2,0.84890354848258
2,1,3,2,1,0.854887847222332
2,1,3,2,2,0.84850822079919
2,2,4,2,1,0.838194964724518
2,2,4,2,2,0.823110456204504
2,2,1,3,1,0.849788991782187
2,2,1,3,2,0.839027644121656
2,1,2,3,1,0.855470787116742
2,1,2,3,2,0.851440378520802
2,0,3,3,2,0.848441031484218
2,1,4,3,1,0.847621886016843
2,1,4,3,2,0.842676803598159
2,3,1,4,1,0.840307768836484
2,3,1,4,2,0.841567932707803
2,2,2,4,1,0.849250543912466
2,2,2,4,2,0.843649496252627
2,1,3,4,1,0.852505507293033
2,1,3,4,2,0.84914635146207
2,0,4,4,1,0.844839780425762
2,0,4,4,2,0.845120961517166
3,0,1,1,1,0.84528764124118
3,0,1,1,2,0.844097591565106
3,1,2,1,1,0.839198761642645
3,1,2,1,2,0.838888266561143
3,2,3,1,1,0.841952530780408
3,2,3,1,2,0.836824258532101
3,1,1,2,1,0.825145792435562
3,1,3,2,2,0.826006703116078
3,2,1,3,1,0.841714082820215
3,2,1,3,2,0.847363707066468
3,1,2,3,1,0.834470241187951
3,1,2,3,2,0.833726190824961
3,0,3,3,1,0.844655329737019
3,0,3,3,2,0.853710956571641
3,1,4,3,1,0.848314244337336
3,1,4,3,2,0.833097021098297
3,3,1,4,2,0.828767590291064
3,1,3,4,1,0.847845248988374
3,1,3,4,2,0.849115701040185
3,0,4,4,1,0.848278977189246
3,0,4,4,2,0.838632124199762
4,0,1,1,1,0.847838007293485
4,0,1,1,2,0.848817927245332
4,1,2,1,1,0.834960530166326
4,1,2,1,2,0.834377972618982
4,2,3,1,1,0.831090893886638
4,2,3,1,2,0.827904672757116
4,1,1,2,1,0.844308209388341
4,1,1,2,2,0.845504191122154
4,0,2,2,1,0.847138277189496
4,0,2,2,2,0.846315273746248
4,1,3,2,1,0.844640290073027
4,1,3,2,2,0.843822635507357
4,2,4,2,1,0.827798211665059
4,2,1,3,1,0.840911409204325
4,2,1,3,2,0.839341530304894
4,1,2,3,1,0.843870452204136
4,1,2,3,2,0.845153769425683
4,0,3,3,1,0.849581515906871
4,0,3,3,2,0.85021917132399
4,1,4,3,1,0.839602371671703
4,1,4,3,2,0.834150832151912
4,3,1,4,1,0.840779234379994
4,3,1,4,2,0.839983187983302
4,2,2,4,1,0.843650483556494
4,2,2,4,2,0.840648918881437
4,1,3,4,1,0.851231622882378
4,1,3,4,2,0.850022096975699
4,0,4,4,1,0.846229705347403
4,0,4,4,2,0.844708455240415
5,0,1,1,1,0.850883924444481
5,0,1,1,2,0.849460763462737
5,1,2,1,1,0.844559936228012
5,1,2,1,2,0.84280552192893
5,2,3,1,1,0.845131950409239
5,2,3,1,2,0.838749349027989
5,3,4,1,1,0.824836233632131
5,1,1,2,1,0.85087881839806
5,1,1,2,2,0.845055677879278
5,0,2,2,1,0.855228124852935
5,0,2,2,2,0.851572696912465
5,1,3,2,1,0.856021817511967
5,1,3,2,2,0.850571949872553
5,2,4,2,1,0.84069192465417
5,2,4,2,2,0.8271844022261
5,2,1,3,1,0.847489782624245
5,2,1,3,2,0.838854241497316
5,1,2,3,1,0.853638273875309
5,1,2,3,2,0.846938692853676
5,0,3,3,1,0.855905722605148
5,0,3,3,2,0.853473751132822
5,1,4,3,1,0.847669273113518
5,1,4,3,2,0.840791059252061
5,3,1,4,1,0.845825353130249
5,3,1,4,2,0.83508050528127
5,2,2,4,1,0.849769033795089
5,2,2,4,2,0.844750036249353
