subject,SO,Source,sink,D_source_So,D_sink_SO,D_sink_source,pre_post,flow_peak
1,1,1,2,0,1,1,1,0.482855261917439
1,1,1,2,0,1,1,2,0.476905442455213
1,1,1,3,0,2,2,1,0.486382038264426
1,1,1,3,0,2,2,2,0.4827247069145
1,1,1,4,0,3,3,1,0.510836203813301
1,1,1,4,0,3,3,2,0.514036989461345
1,1,2,1,1,0,1,1,0.482516472776508
1,1,2,1,1,0,1,2,0.476879323320302
1,1,2,3,1,2,1,1,0.485930657994696
1,1,2,3,1,2,1,2,0.480916525645036
1,1,2,4,1,3,2,1,0.509479304956678
1,1,2,4,1,3,2,2,0.515685533677642
1,1,3,1,2,0,2,1,0.481614305995031
1,1,3,1,2,0,2,2,0.476897470851305
1,1,3,2,2,1,1,1,0.482684662897996
1,1,3,2,2,1,1,2,0.476063531451337
1,1,3,4,2,3,1,1,0.50993084826567
1,1,3,4,2,3,1,2,0.513553302785408
1,1,4,1,3,0,3,1,0.480207655795937
1,1,4,1,3,0,3,2,0.474599493002751
1,1,4,2,3,1,2,1,0.481341439311603
1,1,4,2,3,1,2,2,0.472871025422391
1,1,4,3,3,2,1,1,0.485157211826103
1,1,4,3,3,2,1,2,0.479825224540094
1,2,1,2,1,0,1,1,0.486414369990433
1,2,1,2,1,0,1,2,0.479400323689556
1,2,1,3,1,1,2,1,0.489958314319968
1,2,1,3,1,1,2,2,0.482418805801443
1,2,1,4,1,2,3,1,0.502920676976482
1,2,1,4,1,2,3,2,0.51277769344268
1,2,2,1,0,1,1,1,0.484384628724113
1,2,2,1,0,1,1,2,0.481120183894797
1,2,2,3,0,1,1,1,0.489855284419172
1,2,2,3,0,1,1,2,0.481959536451229
1,2,2,4,0,2,2,1,0.504295575848983
1,2,2,4,0,2,2,2,0.513045872354416
1,2,3,1,1,1,2,1,0.484737576403436
1,2,3,1,1,1,2,2,0.480398617605934
1,2,3,2,1,0,1,1,0.485482609260991
1,2,3,2,1,0,1,2,0.478103376163555
1,2,3,4,1,2,1,1,0.504925543419237
1,2,3,4,1,2,1,2,0.514033324040677
1,2,4,1,2,1,3,1,0.484688130796247
1,2,4,1,2,1,3,2,0.479619556825854
1,2,4,2,2,0,2,1,0.486733162780167
1,2,4,2,2,0,2,2,0.477884308400053
1,2,4,3,2,1,1,1,0.488165937359228
1,2,4,3,2,1,1,2,0.480760491121175
1,3,1,2,2,1,1,1,0.4906593776812
1,3,1,2,2,1,1,2,0.489990016918945
1,3,1,3,2,0,2,1,0.485714992193801
1,3,1,3,2,0,2,2,0.482961807209164
1,3,1,4,2,1,3,1,0.495163684681339
1,3,1,4,2,1,3,2,0.49455051065327
1,3,2,1,1,2,1,1,0.4957824132163
1,3,2,1,1,2,1,2,0.494437903088892
1,3,2,3,1,0,1,1,0.484260274223715
1,3,2,3,1,0,1,2,0.483005927534801
1,3,2,4,1,1,2,1,0.496199763925846
1,3,2,4,1,1,2,2,0.496384597727541
1,3,3,1,0,2,2,1,0.495191085448416
1,3,3,1,0,2,2,2,0.496585091725025
1,3,3,2,0,1,1,1,0.49126611395671
1,3,3,2,0,1,1,2,0.49083198071048
1,3,3,4,0,1,1,1,0.496043350118853
1,3,3,4,0,1,1,2,0.493516108491995
1,3,4,1,1,2,3,1,0.496131296633684
1,3,4,1,1,2,3,2,0.49699212443694
1,3,4,2,1,1,2,1,0.49149064085846
1,3,4,2,1,1,2,2,0.489197988699103
1,3,4,3,1,0,1,1,0.486352724439918
1,3,4,3,1,0,1,2,0.483933333234848
1,4,1,2,3,2,1,1,0.491319873349324
1,4,1,2,3,2,1,2,0.491002438433066
1,4,1,3,3,1,2,1,0.486050680172921
1,4,1,3,3,1,2,2,0.484252245207714
1,4,1,4,3,0,3,1,0.488044869365025
1,4,1,4,3,0,3,2,0.491977356874426
1,4,2,1,2,3,1,1,0.498227007933394
1,4,2,1,2,3,1,2,0.493723614696171
1,4,2,3,2,1,1,1,0.485051419162703
1,4,2,3,2,1,1,2,0.486349873347964
1,4,2,4,2,0,2,1,0.487958236267561
1,4,2,4,2,0,2,2,0.49045671413096
1,4,3,1,1,3,2,1,0.49804728653489
1,4,3,1,1,3,2,2,0.496086382487955
1,4,3,2,1,2,1,1,0.492858530354661
1,4,3,2,1,2,1,2,0.490761237801454
1,4,3,4,1,0,1,1,0.491362703071308
1,4,3,4,1,0,1,2,0.492494033338399
1,4,4,1,0,3,3,1,0.498164064273516
1,4,4,1,0,3,3,2,0.493493871857721
1,4,4,2,0,2,2,1,0.493755037150443
1,4,4,2,0,2,2,2,0.490725220477058
1,4,4,3,0,1,1,1,0.486944619234138
1,4,4,3,0,1,1,2,0.485887034399852
2,1,1,2,0,1,1,1,0.475238776983031
2,1,1,2,0,1,1,2,0.464004508696775
2,1,1,3,0,2,2,1,0.482295274006318
2,1,1,3,0,2,2,2,0.478235204389382
2,1,1,4,0,3,3,1,0.504172249969421
2,1,1,4,0,3,3,2,0.5185415131871
2,1,2,1,1,0,1,1,0.465207900829272
2,1,2,3,1,2,1,1,0.482237539926955
2,1,2,3,1,2,1,2,0.470963112517578
2,1,2,4,1,3,2,1,0.507806674912936
2,1,3,1,2,0,2,1,0.467799224558641
2,1,3,2,2,1,1,1,0.471345584092647
2,1,3,2,2,1,1,2,0.460317852965058
