subject,SO,Source,sink,D_source_So,D_sink_SO,D_sink_source,cluster,pre_post,flow_peak
1,1,1,2,0,1,1,1,1,0.488331204524965
1,1,1,2,0,1,1,1,2,0.487532481150911
2,1,1,2,0,1,1,1,1,0.476357080486137
2,1,1,2,0,1,1,1,2,0.47645253505954
3,1,1,2,0,1,1,1,1,0.467972969498535
3,1,1,2,0,1,1,1,2,0.477840954233718
4,1,1,2,0,1,1,1,1,0.480537103898598
4,1,1,2,0,1,1,1,2,0.477490463603649
5,1,1,2,0,1,1,1,1,0.47929936872406
5,1,1,2,0,1,1,1,2,0.468444293102124
6,1,1,2,0,1,1,1,1,0.484971360022627
6,1,1,2,0,1,1,1,2,0.47759765161097
7,1,1,2,0,1,1,1,1,0.481313807886106
7,1,1,2,0,1,1,1,2,0.477864539780951
8,1,1,2,0,1,1,1,1,0.477920613713108
8,1,1,2,0,1,1,1,2,0.470030928990408
9,1,1,2,0,1,1,1,1,0.480930454179128
9,1,1,2,0,1,1,1,2,0.472069170437697
10,1,1,2,0,1,1,1,1,0.468745252102976
10,1,1,2,0,1,1,1,2,0.467740626102626
11,1,1,2,0,1,1,1,1,0.484813423645164
11,1,1,2,0,1,1,1,2,0.478788845081086
12,1,1,2,0,1,1,1,1,0.472972473170326
12,1,1,2,0,1,1,1,2,0.465540347475881
13,1,1,2,0,1,1,1,1,0.468438990710777
17,1,1,2,0,1,1,1,1,0.477377194370969
17,1,1,2,0,1,1,1,2,0.485548549009985
18,1,1,2,0,1,1,1,1,0.487073207312718
18,1,1,2,0,1,1,1,2,0.485453315528181
19,1,1,2,0,1,1,1,1,0.464687504945058
23,1,1,2,0,1,1,1,1,0.487036656283135
23,1,1,2,0,1,1,1,2,0.483205689428654
27,1,1,2,0,1,1,1,1,0.465388439546747
28,1,1,2,0,1,1,1,1,0.48356206286199
28,1,1,2,0,1,1,1,2,0.47893152336003
29,1,1,2,0,1,1,1,1,0.483367410435708
29,1,1,2,0,1,1,1,2,0.482934356893793
31,1,1,2,0,1,1,1,1,0.464254885013882
33,1,1,2,0,1,1,1,1,0.481969504908726
33,1,1,2,0,1,1,1,2,0.476611152797078
34,1,1,2,0,1,1,1,1,0.464535022350727
35,1,1,2,0,1,1,1,1,0.472807826600292
36,1,1,2,0,1,1,1,1,0.468063545990742
39,1,1,2,0,1,1,1,1,0.465186641993655
40,1,1,2,0,1,1,1,1,0.473041623991487
40,1,1,2,0,1,1,1,2,0.466361882189624
41,1,1,2,0,1,1,1,1,0.472711537023726
41,1,1,2,0,1,1,1,2,0.467213733749151
42,1,1,2,0,1,1,1,1,0.466671843148369
42,1,1,2,0,1,1,1,2,0.46572429739818
43,1,1,2,0,1,1,1,1,0.466776157725514
44,1,1,2,0,1,1,1,1,0.486210228858281
44,1,1,2,0,1,1,1,2,0.483486820078656
